"created_at","id","text"
"2022-04-11T21:01:34.000Z","1513623312123011074","#الهلال_الريان\nMassage Nights Massage and reservation nights of pampering behind and in front of and dancing in the Kingdom of Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait Asir Jizan Al Khobar City of Taif"
"2022-04-11T20:58:43.000Z","1513622595740045314","@Taif_Per1 @NAFAHAT21 والله ماقمت اثق بالبدايل قد طلبت من موقع علبهم مع الوقت تسرب زايد انه ببدايه يفوح وبعدها يختفي ريحته"
"2022-04-11T20:56:17.000Z","1513621985233883152","Do your sex and massage here in \n#taifmassage \n#taif_Fullbodymassage \n#bodytobodymassage \nWhatsApp me 👇👇👇\nhttps://t.co/jPwIPJpcwz https://t.co/24KuvZDasK"
"2022-04-11T20:55:04.000Z","1513621678462484486","@Taif_Per1 @NAFAHAT21 نقدم لكم عطر طِيب \nمكوناته تتكلم عنه 😻\nعود مسك باتشولي \nثابت وفواح وعليه عرض حاليا وشحن ومجاني يستاهل يكون ضمن عطوركم \n\nhttps://t.co/cgWTu6uO0Z"
"2022-04-11T20:54:33.000Z","1513621548128690184","Do your sex and massage here in \n#taifmassage \n#TABUK_FULLBODYMASSAGE \n#taif_massagecenter \nWhatsApp me 👇👇👇\nhttps://t.co/jPwIPJpcwz https://t.co/sTPUFdpBrR"
"2022-04-11T20:51:41.000Z","1513620828365242375","@Taif_Per1 @NAFAHAT21 تتهنين أختي طيف وعطور سافيلا أثبتت نجاحها تمنياتنا لهم بالتوفيق تقرير رائع👍🏻"
"2022-04-11T20:47:53.000Z","1513619870574915584","@abo_rakan1389 @Taif_Per1 مشي حالك يا أبو راكان خله يترزق 😅"
"2022-04-11T20:35:41.000Z","1513616801174859777","RT @kayamerthasan_: Taif'te gül hasadı🙂🌿\n\nTaif gülyağı güçlü kokusu ve kalitesi ile oldukça değerli ve çok aranan bir yağ çeşidi. https://t…"
"2022-04-11T20:32:02.000Z","1513615881917632512","Old photos of the city of Taif in the Makkah region https://t.co/l2YNucmsQY"
"2022-04-11T20:31:58.000Z","1513615865937334277","Old photos of the city of Taif in the Makkah region https://t.co/aJoMFe42eM"
"2022-04-11T20:31:54.000Z","1513615847746588676","Old photos of the city of Taif in the Makkah region https://t.co/XMC1e3bdl1"
"2022-04-11T20:30:36.000Z","1513615520058290178","@7_STORE_ @muuuunaa69 @taif_abdo @alaaa_alsirr"
"2022-04-11T20:30:13.000Z","1513615424813993989","Recent photos of the city of Taif in the Makkah region https://t.co/UDidLL3g2Q"
"2022-04-11T20:30:11.000Z","1513615414844174345","Recent photos of the city of Taif in the Makkah region https://t.co/c35O3wK9Mu"
"2022-04-11T20:30:08.000Z","1513615402168946691","Recent photos of the city of Taif in the Makkah region https://t.co/OdwlxmD2eX"
"2022-04-11T20:30:05.000Z","1513615392089980930","Recent photos of the city of Taif in the Makkah region https://t.co/OOYJiivUZy"
"2022-04-11T20:30:03.000Z","1513615383101689862","Recent photos of the city of Taif in the Makkah region https://t.co/eFDU0O3aK6"
"2022-04-11T20:30:01.000Z","1513615372355842054","Recent photos of the city of Taif in the Makkah region https://t.co/cCKgaPgL1H"
"2022-04-11T20:29:58.000Z","1513615363115831296","Recent photos of the city of Taif in the Makkah region https://t.co/r3QEOwIFf0"
"2022-04-11T20:23:43.000Z","1513613790004355073","Inscriptions of Jabal Bathera Bani Malik, Taif Governorate, Makkah Region https://t.co/hJHePLgVLp"
"2022-04-11T20:23:28.000Z","1513613727236505603","اعلى مراتب الرائحة العود الكمبودي والورد الطايفي عطر صلاة التراويح وصلاة العيد من المصمم العالمي روجا دوف رائحة فوق العادة وفوف الوصف \nيباع عبر متجر روجا دوف \nيوجد في الموقع قنينة بخاخ للتجربة 7 ملي والرئيسية 50 ملي \n@RojaParfums\n\nhttps://t.co/NnC4xgrHpl\n\n#رابطة_عشاق_العطور https://t.co/qEowyZwHIM"
"2022-04-11T20:21:03.000Z","1513613117024047113","@Taif_Per1 @NAFAHAT21 وش شبيهه من العطور؟"
"2022-04-11T20:19:02.000Z","1513612609873977352","@Taif_Per1 اعرفه  لكن  في كل براند القاه خصوصا البراندات السعوديه"
"2022-04-11T20:18:10.000Z","1513612393414340624","@Taif_Per1 @NAFAHAT21 مبدعة دائماً ياطيف.\n\nفعلاً اكوا بيلي من انجح عطور البراند بشكل عام 👍🏻"
"2022-04-11T20:17:05.000Z","1513612118003752966","RT @E_Blgl: Taif dönüşü Zeyd bin Haris'le(ra) sığındığın bir üzüm bağı da ben olsaydım. 🌹"
"2022-04-11T20:07:50.000Z","1513609790609580039","@_rpzf @sarra1102 @ondxi @mllaa77 @l5fll5 @Taif_i12 @manal071421 @xwiirv @NOOU01 @ighzll وربيي ترا مو الاغلب يعرفها وتوهق اذا سألوني وشتعني مالها شرح😭😭😭😭😭"
"2022-04-11T20:07:14.000Z","1513609640545865729","@_rpzf @sarra1102 @ondxi @mllaa77 @l5fll5 @Taif_i12 @manal071421 @xwiirv @NOOU01 @ighzll 😭😭😭😭😭😭"
"2022-04-11T20:06:51.000Z","1513609543275757570","@abr20k الطايف الرميدة فهمتي ولا @tvtc_g_Taif"
"2022-04-11T20:06:37.000Z","1513609487055302666","Massage nights, massage and reservation nights of pampering behind and in front of and dancing on the occasion of the New Year in the Kingdom of Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait Asir Jazan Khobar Taif City."
"2022-04-11T20:06:05.000Z","1513609353219256340","@Taif_Per1 وش قصة بروفينزانو  في كل براند سعودي  جديد  القاه 🤔"
"2022-04-11T20:04:59.000Z","1513609073035563011","@NabilAbuMeera @8_Taif_8 @6lno1 @gorgeous4ew بالنسبة لي الله يسمعني الحمدالله وحسيت بوجوده قربي كثيررر ودايم بخاطري اقول امثالك كيف عايشين بدون وجود الله بقربهم ؟ انا مايهون اموري الا لما اسجد وابكي وادعي وارفع من السجود قلبي كأنه مغسول ومؤمنه ان الله كفيل بأمري وفعلاً الله ماعمره خيب ظني لكن سجود بأيمان مو تمشية حال"
"2022-04-11T20:03:33.000Z","1513608711666864129","@ranger_taif وعلى مرورك الراقي زيد الخيل"
"2022-04-11T20:02:31.000Z","1513608454077919238","@kdideeoo @sarra1102 @ondxi @mllaa77 @l5fll5 @Taif_i12 @manal071421 @xwiirv @NOOU01 @ighzll ههههههههههههههههههههههههههههههههههههههههههههههههههه يماه تعرفين معنى كلمه ميدي فكرت انا لحالي امبيه 😭😭"
"2022-04-11T20:00:48.000Z","1513608022416936961","@sarra1102 @mllaa77 @l5fll5 @_rpzf @Taif_i12 @kdideeoo @manal071421 @xwiirv @NOOU01 @ighzll يديمكم لبعض 🦋🦋🦋"
"2022-04-11T20:00:17.000Z","1513607889931407367","@_rpzf @sarra1102 @ondxi @mllaa77 @l5fll5 @Taif_i12 @manal071421 @xwiirv @NOOU01 @ighzll احسبك تقولينها ميدي خخ😭😭"
"2022-04-11T19:58:23.000Z","1513607412447686675","@Ask_the_taif ابي محل هدايا حلو ورخيص ضروري في الطايف"
"2022-04-11T19:54:06.000Z","1513606337166467082","@Taif_Wein وأما هي ..وحدها هي..شاركتك الحزن وبكت معك..."
"2022-04-11T19:52:52.000Z","1513606023919063045","@abr20k @tvtc_g_Taif  افهمي"
"2022-04-11T19:49:33.000Z","1513605188778696711","@taif_8t ايش الجمال ذا🤍🤍🤍"
"2022-04-11T19:47:00.000Z","1513604547255619585","@taif_8t حلووووه 🤍"
"2022-04-11T19:33:58.000Z","1513601268811509761","Taif'te bir Ramazan sofrası. Mübarek Ramazan ayının maneviyatını yansıtan güzel kareler.                                          @Intersaudiradio                                  Uluslararası Suudi Arabistan radyoları Türkçe yayını 👇🏻 https://t.co/nC1oiM4bvI… https://t.co/R2wXlCFyhW"
"2022-04-11T19:32:36.000Z","1513600923658035205","@leifby Att återvända till Stålhallen i TAIF-tröjan kräver mod"
"2022-04-11T19:27:59.000Z","1513599761462480897","Voor de duidelijkheid #IkVertrek Taif is een top sales man met meerdere successen bij de grootste multinationals in Nederland slim zijn geld geïnvesteerd in vastgoed en kiezen nu voor een leven in het buitenland"
"2022-04-11T19:25:25.000Z","1513599118416957445","@taif_abduallah ودي يقطبونه الداخليه يشوفون ادعاء العلاقات مع الاسره الحاكمه هو صحيح ولا نصاب"
"2022-04-11T19:16:56.000Z","1513596983239450624","@Taif_Wein رااائع"
"2022-04-11T19:15:00.000Z","1513596494271725577","Massage nights, massage and reservation nights of pampering behind and in front of and dancing on the occasion of the New Year in the Kingdom of Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait Asir Jazan Khobar Taif City"
"2022-04-11T19:04:32.000Z","1513593863235153932","who is taif —  https://t.co/batVCJK9LD"
"2022-04-11T19:03:23.000Z","1513593571206651910","@Taif_Wein https://t.co/anLZmOE2Tt"
"2022-04-11T19:01:09.000Z","1513593008368803843","@taif_awwad @MemesOficiial هغيب🥱🥱"
"2022-04-11T18:58:49.000Z","1513592422466478084","@taif_8t فن فن"
"2022-04-11T18:58:11.000Z","1513592263028490241","@Taif_Wein شكرا على المعلومات القيمة 👍👍👍"
"2022-04-11T18:55:55.000Z","1513591695287500801","Massage Nights Massage and booking pampering nights behind and in front of and dancing in the Kingdom of Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait Asir Jazan Al Khobar Taif city\n+966570395403"
"2022-04-11T18:55:34.000Z","1513591603277049859","Massage Nights Massage and booking pampering nights behind and in front of and dancing in the Kingdom of Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait Asir Jazan Al Khobar Taif city\n+966570395403"
"2022-04-11T18:54:29.000Z","1513591334115987457","@taif_8t فنانه فوق التقيم👏🏻😍"
"2022-04-11T18:53:02.000Z","1513590969723195397","@Taif_Wein لفتتني تلة الوقت... عميق يا طيق وتحسن اختيار ما يليق بحرفك من صور"
"2022-04-11T18:51:49.000Z","1513590659579531266","RT @RumanStore: @pogme11 @TAIF__888 حياك الله اخوي عن طريق تحميل متجرنا \nاو الرابط التالي:\n\n https://t.co/Xp9jp04K7S"
"2022-04-11T18:51:14.000Z","1513590516511870980","Massage nights, massage and reservation nights of pampering behind and in front of and dancing on the occasion of the New Year in the Kingdom  Saudi Arabia Riyadh Dammam Tabuk Al Ahsa Jubail Jeddah Makkah Abha Khamis Mushait  Khobar Taif \n+966570395403"
"2022-04-11T18:44:53.000Z","1513588917869719557","Do your sex and massage here in\n#taifmassage \n#Taif_MassageRelax \n#taif_Fullbodymassage \nWhatsApp me 👇👇👇\nhttps://t.co/Zl5V18Tp0b https://t.co/Q8FFN0lt6e"
"2022-04-11T18:42:14.000Z","1513588250912382976","@taif_8t فنانه 👍🏻🤯"
"2022-04-11T18:41:14.000Z","1513587999459655687","@Ask_the_taif جوري مول"
"2022-04-11T18:39:52.000Z","1513587653131833350","@Taif_Wein نسأل الله العفو و العافية، و خير الأقدار والرضا بها.."
"2022-04-11T18:38:43.000Z","1513587365293531140","@taif_8t فوق التقيييم"
